LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,2016,LEVEL
RCC/PAC Debt Svc Fund,Treasury Office,Capital Project Expense,,,,"9,574,670","9,607,470","16,892,000","16,892,000",3
RCC/PAC Debt Svc Fund,Treasury Office,Direct Expenses,,,,"1,591,500","1,591,500","1,591,000","1,591,000",3
RCC/PAC Operations Fund Total,,,,,,"16,335,072","17,444,443","18,358,726","18,358,726",1
RCC/PAC Operations Fund,Performing Arts Center Total,,,,,"6,253,394","6,552,320","6,911,715","6,911,715",2
RCC/PAC Operations Fund,Performing Arts Center,Capital Equipment,,,,"10,000","10,000","10,000","10,000",3
RCC/PAC Operations Fund,Performing Arts Center,Direct Expenses,,,,"984,411","1,008,651","996,111","996,111",3
RCC/PAC Operations Fund,Performing Arts Center,Employee Benefits,,,,"629,187","688,422","637,009","637,009",3
RCC/PAC Operations Fund,Performing Arts Center,Interfund Transfers In/Out,,,,"1,187,711","1,131,665","690,282","690,282",3
RCC/PAC Operations Fund,Performing Arts Center,Miscellaneous,,,,"28,426","28,740","31,360","31,360",3
RCC/PAC Operations Fund,Performing Arts Center,Other Expense,,,,"980,159","1,159,485","1,905,692","1,905,692",3
RCC/PAC Operations Fund,Performing Arts Center,Salaries and Wages,,,,"2,433,500","2,525,357","2,641,261","2,641,261",3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre Total,,,,,"1,419,471","1,490,589","1,697,414","1,697,414",2
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,,,,"158,795","200,961","201,024","201,024",3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,,,,"130,989","102,012","76,983","76,983",3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Interfund Transfers In/Out,,,,"254,695","247,633","313,881","313,881",3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Miscellaneous,,,,"19,960","9,705","42,810","42,810",3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Other Expense,,,,"511,248","618,489","781,693","781,693",3
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,,,,"343,784","311,789","281,023","281,023",3
RCC/PAC Operations Fund,RCC Facility Total,,,,,"8,533,781","9,178,283","9,422,808","9,422,808",2
RCC/PAC Operations Fund,RCC Facility,Capital Equipment,,,,"10,000","10,000","10,000","10,000",3
RCC/PAC Operations Fund,RCC Facility,Direct Expenses,,,,"2,566,661","3,207,366","3,303,204","3,303,204",3
RCC/PAC Operations Fund,RCC Facility,Employee Benefits,,,,"1,085,425","1,143,581","1,044,742","1,044,742",3
RCC/PAC Operations Fund,RCC Facility,Interfund Transfers In/Out,,,,"982,840","921,460","930,133","930,133",3
RCC/PAC Operations Fund,RCC Facility,Miscellaneous,,,,"187,681","164,714","208,930","208,930",3
RCC/PAC Operations Fund,RCC Facility,Other Expense,,,,"371,968","400,981","402,821","402,821",3
RCC/PAC Operations Fund,RCC Facility,Salaries and Wages,,,,"3,329,206","3,330,181","3,522,978","3,522,978",3
RCC/PAC Operations Fund,RCC/PAC Special Events Total,,,,,"128,426","223,251","326,789","326,789",2
RCC/PAC Operations Fund,RCC/PAC Special Events,Direct Expenses,,,,"28,250","51,750","56,100","56,100",3
RCC/PAC Operations Fund,RCC/PAC Special Events,Employee Benefits,,,,"1,327","1,895","3,298","3,298",3
RCC/PAC Operations Fund,RCC/PAC Special Events,Interfund Transfers In/Out,,,,"26,238","3,506","3,391","3,391",3
RCC/PAC Operations Fund,RCC/PAC Special Events,Miscellaneous,,,,"6,000","13,000","42,000","42,000",3
RCC/PAC Operations Fund,RCC/PAC Special Events,Other Expense,,,,"52,211","133,100","187,000","187,000",3
RCC/PAC Operations Fund,RCC/PAC Special Events,Salaries and Wages,,,,"14,400","20,000","35,000","35,000",3
Revolving Fund Total,,,,,,"8,376,795","8,398,431","9,292,911","9,292,911",1
Revolving Fund,Arts Office_P&R Total,,,,,"91,535","85,535",,,2
Revolving Fund,Arts Office_P&R,Direct Expenses,,,,"91,535","85,535",,,3
Revolving Fund,City Manager Total,,,,,"9,500","9,500","9,500","9,500",2
Revolving Fund,City Manager,Direct Expenses,,,,"8,450","8,450","8,450","8,450",3
Revolving Fund,City Manager,Miscellaneous,,,,"1,050","1,050","1,050","1,050",3
Revolving Fund,Community Svcs Total,,,,,"12,000","30,000","30,000","30,000",2
Revolving Fund,Community Svcs,Direct Expenses,,,,"12,000","30,000","30,000","30,000",3
Revolving Fund,Fire Adm Total,,,,,"200,000","300,000","300,000","300,000",2
Revolving Fund,Fire Adm,Direct Expenses,,,,"200,000","300,000","210,000","210,000",3
Revolving Fund,Fire Adm,Employee Benefits,,,,,,"30,000","30,000",3
Revolving Fund,Fire Adm,Miscellaneous,,,,,,"10,000","10,000",3
Revolving Fund,Fire Adm,Salaries and Wages,,,,,,"50,000","50,000",3
Revolving Fund,Fire Training Total,,,,,"80,964","80,964","162,410","162,410",2
Revolving Fund,Fire Training,Direct Expenses,,,,"80,964","80,964","158,410","158,410",3
Revolving Fund,Fire Training,Miscellaneous,,,,,,"4,000","4,000",3
Revolving Fund,Inspections Total,,,,,"9,302","9,342","1,400","1,400",2
Revolving Fund,Inspections,Capital Equipment,,,,"4,802","4,802",,,3
Revolving Fund,Inspections,Direct Expenses,,,,"4,000","4,040","1,400","1,400",3
Revolving Fund,Inspections,Miscellaneous,,,,500,500,,,3
Revolving Fund,Non-Departmental Total,,,,,"207,170",,,,2
Revolving Fund,Non-Departmental,Interfund Transfers In/Out,,,,"100,000",,,,3
Revolving Fund,Non-Departmental,Other Expense,,,,"107,170",,,,3
Revolving Fund,Parks & Rec - Parks Total,,,,,"39,000","39,741",,,2
Revolving Fund,Parks & Rec - Parks,Direct Expenses,,,,"34,000","34,000",,,3
Revolving Fund,Parks & Rec - Parks,Employee Benefits,,,,,741,,,3
Revolving Fund,Parks & Rec - Parks,Salaries and Wages,,,,"5,000","5,000",,,3
Revolving Fund,Parks & Rec - Recreation Total,,,,,"6,951,567","7,365,912",,,2
Revolving Fund,Parks & Rec - Recreation,Capital Equipment,,,,"109,909","87,300",,,3
Revolving Fund,Parks & Rec - Recreation,Direct Expenses,,,,"4,355,007","4,339,748",,,3
Revolving Fund,Parks & Rec - Recreation,Employee Benefits,,,,"167,380","182,537",,,3
Revolving Fund,Parks & Rec - Recreation,Interfund Transfers In/Out,,,,"59,818","161,121",,,3
Revolving Fund,Parks & Rec - Recreation,Miscellaneous,,,,"155,587","211,535",,,3
Revolving Fund,Parks & Rec - Recreation,Other Expense,,,,,"52,302",,,3
Revolving Fund,Parks & Rec - Recreation,Salaries and Wages,,,,"2,103,866","2,331,369",,,3
Revolving Fund,Planning Total,,,,,"1,000","3,500","2,000","2,000",2
Revolving Fund,Planning,Direct Expenses,,,,"1,000","3,500","2,000","2,000",3
Revolving Fund,Police Administrative Services Total,,,,,"8,937","8,937","8,940","8,940",2
Revolving Fund,Police Administrative Services,Direct Expenses,,,,"8,937","8,937","8,940","8,940",3
Revolving Fund,PRCR - Business Process Mgmt Total,,,,,,,"35,000","35,000",2
Revolving Fund,PRCR - Business Process Mgmt,Direct Expenses,,,,,,"35,000","35,000",3
Revolving Fund,PRCR - Parks - Urban Trees Total,,,,,,,"63,000","63,000",2
Revolving Fund,PRCR - Parks - Urban Trees,Direct Expenses,,,,,,"63,000","63,000",3
Revolving Fund,PRCR - Parks -Park Maintenance Total,,,,,,,"38,000","38,000",2
Revolving Fund,PRCR - Parks -Park Maintenance,Direct Expenses,,,,,,"25,000","25,000",3
Revolving Fund,PRCR - Parks -Park Maintenance,Employee Benefits,,,,,,"1,849","1,849",3
Revolving Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,,,,,,"11,151","11,151",3
Revolving Fund,PRCR - Recreation Total,,,,,,,"8,122,126","8,122,126",2
Revolving Fund,PRCR - Recreation,Capital Equipment,,,,,,"67,621","67,621",3
Revolving Fund,PRCR - Recreation,Direct Expenses,,,,,,"4,988,665","4,988,665",3
Revolving Fund,PRCR - Recreation,Employee Benefits,,,,,,"188,936","188,936",3
Revolving Fund,PRCR - Recreation,Interfund Transfers In/Out,,,,,,"160,000","160,000",3
Revolving Fund,PRCR - Recreation,Miscellaneous,,,,,,"217,015","217,015",3
Revolving Fund,PRCR - Recreation,Other Expense,,,,,,"50,574","50,574",3
Revolving Fund,PRCR - Recreation,Salaries and Wages,,,,,,"2,449,315","2,449,315",3
Revolving Fund,PRCR - Resources Total,,,,,,,"85,535","85,535",2
Revolving Fund,PRCR - Resources,Direct Expenses,,,,,,"85,535","85,535",3
Revolving Fund,Public Affairs-Rtn Total,,,,,"140,000","435,000","435,000","435,000",2
Revolving Fund,Public Affairs-Rtn,Capital Equipment,,,,"100,000","395,000","395,000","395,000",3
Revolving Fund,Public Affairs-Rtn,Other Expense,,,,"40,000","40,000","40,000","40,000",3
Revolving Fund,Solid Waste Admin Total,,,,,"590,820",,,,2
Revolving Fund,Solid Waste Admin,Direct Expenses,,,,"590,820",,,,3
Revolving Fund,Urban Trees Total,,,,,"35,000","30,000",,,2
Revolving Fund,Urban Trees,Direct Expenses,,,,"35,000","30,000",,,3
Sewer Reuse/Infrastructure Fd Total,,,,,,,,"6,112,089","6,112,089",1
Sewer Reuse/Infrastructure Fd,Non-Departmental Total,,,,,,,"6,112,089","6,112,089",2
Sewer Reuse/Infrastructure Fd,Non-Departmental,Interfund Transfers In/Out,,,,,,"6,112,089","6,112,089",3
Stormwater Utility Fund Total,,,,,,"15,864,531","16,063,667","16,688,473","16,688,473",1
Stormwater Utility Fund,Stormwater Management Total,,,,,"15,864,531","16,063,667","16,681,485","16,681,485",2
Stormwater Utility Fund,Stormwater Management,Capital Equipment,,,,"1,000","1,000","1,000","1,000",3
Stormwater Utility Fund,Stormwater Management,Direct Expenses,,,,"1,083,882","1,103,720","798,522","798,522",3
Stormwater Utility Fund,Stormwater Management,Employee Benefits,,,,"994,250","967,932","1,145,456","1,145,456",3
Stormwater Utility Fund,Stormwater Management,Interfund Transfers In/Out,,,,"10,688,669","10,788,197","11,193,695","11,193,695",3
Stormwater Utility Fund,Stormwater Management,Miscellaneous,,,,"148,185","133,685","84,150","84,150",3
Stormwater Utility Fund,Stormwater Management,Other Expense,,,,"155,424","185,577","192,444","192,444",3
Stormwater Utility Fund,Stormwater Management,Salaries and Wages,,,,"2,793,121","2,883,556","3,266,218","3,266,218",3
Stormwater Utility Fund,Treasury Office Total,,,,,,,"6,988","6,988",2
Stormwater Utility Fund,Treasury Office,Capital Project Expense,,,,,,"6,988","6,988",3
SWS Debt Service Fund Total,,,,,,,"2,104,075","2,066,000","2,066,000",1
SWS Debt Service Fund,Treasury Office Total,,,,,,"2,104,075","2,066,000","2,066,000",2
SWS Debt Service Fund,Treasury Office,Capital Project Expense,,,,,"2,104,075","2,066,000","2,066,000",3
SWS Operating Fund Total,,,,,,"31,557,805","32,575,987","35,298,510","35,298,510",1
SWS Operating Fund,Solid Waste Admin Total,,,,,"9,609,271","8,703,617","9,603,254","9,603,254",2
SWS Operating Fund,Solid Waste Admin,Capital Equipment,,,,,467,"397,600","397,600",3
SWS Operating Fund,Solid Waste Admin,Direct Expenses,,,,"622,484","790,696","805,740","805,740",3
SWS Operating Fund,Solid Waste Admin,Employee Benefits,,,,"952,861","1,188,338","1,136,281","1,136,281",3
SWS Operating Fund,Solid Waste Admin,Interfund Transfers In/Out,,,,"6,245,137","5,115,079","5,155,055","5,155,055",3
SWS Operating Fund,Solid Waste Admin,Miscellaneous,,,,"7,175","20,018","148,611","148,611",3
SWS Operating Fund,Solid Waste Admin,Other Expense,,,,"619,672","259,322","508,273","508,273",3
SWS Operating Fund,Solid Waste Admin,Salaries and Wages,,,,"1,161,942","1,329,697","1,451,694","1,451,694",3
SWS Operating Fund,Solid Waste Recycling Total,,,,,"4,656,729","5,085,776","5,234,116","5,234,116",2
SWS Operating Fund,Solid Waste Recycling,Capital Equipment,,,,"251,400","254,200","443,800","443,800",3
SWS Operating Fund,Solid Waste Recycling,Direct Expenses,,,,"1,780,782","2,314,015","2,461,467","2,461,467",3
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,,,,"640,484","583,364","547,538","547,538",3
SWS Operating Fund,Solid Waste Recycling,Miscellaneous,,,,"53,800","92,500","3,100","3,100",3
SWS Operating Fund,Solid Waste Recycling,Other Expense,,,,,"75,423",,,3
SWS Operating Fund,Solid Waste Recycling,Salaries and Wages,,,,"1,930,263","1,766,274","1,778,211","1,778,211",3
SWS Operating Fund,Solid Waste Residential Collection Total,,,,,"15,127,171","16,316,299","18,061,549","18,061,549",2
SWS Operating Fund,Solid Waste Residential Collection,Capital Equipment,,,,"50,700","99,500","456,200","456,200",3
SWS Operating Fund,Solid Waste Residential Collection,Direct Expenses,,,,"4,940,618","6,116,483","6,918,771","6,918,771",3
SWS Operating Fund,Solid Waste Residential Collection,Employee Benefits,,,,"1,468,179","1,424,687","1,546,415","1,546,415",3
SWS Operating Fund,Solid Waste Residential Collection,Miscellaneous,,,,"4,003,213","4,000,708","4,170,381","4,170,381",3
SWS Operating Fund,Solid Waste Residential Collection,Other Expense,,,,,"185,343",,,3
SWS Operating Fund,Solid Waste Residential Collection,Salaries and Wages,,,,"4,664,461","4,489,578","4,969,782","4,969,782",3
SWS Operating Fund,Solid Waste Yardwaste Ctr Total,,,,,"2,164,634","2,470,295","2,399,591","2,399,591",2
SWS Operating Fund,Solid Waste Yardwaste Ctr,Direct Expenses,,,,"1,251,329","1,487,703","1,527,760","1,527,760",3
SWS Operating Fund,Solid Waste Yardwaste Ctr,Employee Benefits,,,,"99,178","135,320","116,728","116,728",3
SWS Operating Fund,Solid Waste Yardwaste Ctr,Interfund Transfers In/Out,,,,"15,900","15,900","15,900","15,900",3
SWS Operating Fund,Solid Waste Yardwaste Ctr,Miscellaneous,,,,"474,200","379,200","380,150","380,150",3
SWS Operating Fund,Solid Waste Yardwaste Ctr,Other Expense,,,,,"14,269",,,3
SWS Operating Fund,Solid Waste Yardwaste Ctr,Salaries and Wages,,,,"324,027","437,903","359,053","359,053",3
Transit CAMPO Fund Total,,,,,,,,"3,243,193","3,243,193",1
Transit CAMPO Fund,Planning  - CAMPO Total,,,,,,,"3,243,193","3,243,193",2
Transit CAMPO Fund,Planning  - CAMPO,Capital Equipment,,,,,,"25,000","25,000",3
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,,,,,,"1,926,322","1,926,322",3
Transit CAMPO Fund,Planning  - CAMPO,Employee Benefits,,,,,,"297,517","297,517",3
Transit CAMPO Fund,Planning  - CAMPO,Interfund Transfers In/Out,,,,,,"100,000","100,000",3
Transit CAMPO Fund,Planning  - CAMPO,Miscellaneous,,,,,,"39,170","39,170",3
Transit CAMPO Fund,Planning  - CAMPO,Salaries and Wages,,,,,,"855,184","855,184",3
Utility Debt Service Fund Total,,,,,,"51,589,669","55,236,585","55,631,100","55,631,100",1
Utility Debt Service Fund,Treasury Office Total,,,,,"51,589,669","55,236,585","55,631,100","55,631,100",2
Utility Debt Service Fund,Treasury Office,Capital Project Expense,,,,"50,102,669","54,169,585","54,727,100","54,727,100",3
Utility Debt Service Fund,Treasury Office,Direct Expenses,,,,"1,487,000","1,067,000","904,000","904,000",3
Walnut Creek Amph Operating Fd Total,,,,,,,"1,350,193","1,255,815","1,255,815",1
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre Total,,,,,,"1,350,193","1,255,815","1,255,815",2
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Direct Expenses,,,,,"228,889","122,000","122,000",3
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Employee Benefits,,,,,"24,961","33,250","33,250",3
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Interfund Transfers In/Out,,,,,"1,000,000","1,000,000","1,000,000",3
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Salaries and Wages,,,,,"96,343","100,565","100,565",3
Water Infrastructure Total,,,,,,,,"2,888,422","2,888,422",1
Water Infrastructure,Non-Departmental Total,,,,,,,"2,888,422","2,888,422",2
Water Infrastructure,Non-Departmental,Interfund Transfers In/Out,,,,,,"2,888,422","2,888,422",3
EXPENSES TOTAL,,,,,,"836,843,275","878,755,566","945,064,861","945,064,861",0
